"Entity ID","Person name","Gender","Year born","Year born note","Year died","Year died note","Social identifier","Site born ID","Site born","Site died ID","Site died","Reigned from","Reigned from note","Reigned until","Reigned until note","Active from","Active from note","Active until","Active until note","Been to ID (site)","Been to (site)","Father ID","Father","Mother ID","Mother","Sibling ID","Sibling","Spouse ID","Spouse","Teacher ID","Teacher","Knew ID (person)","Knew (person)","Patron ID","Patron","Influenced by ID (person)","Influenced by (person)","Affiliated with ID (institution)","Affiliated with (institution)","Refs to refbooks","Aka","Scholarship  ID (print)","Scholarship (print and note)","More info","External resources"
"86928","A. Chatterjee","Male","","","","","","","","","","","","","","1956","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86703","A. Cinnasvāmi Śāstrin","Male","","","","","","","","","","","","","","1910","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87028","A. Giriśa","Male","","","","","","","","","","","","","","1988","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87606","A. Vāsudeva Potti","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86989","A.Subrahmanya Śāstri","Male","","","","","","","","","","","","","","1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85575","Abhayacandra","Male","","","","","Siddhānta","","","","","","","","","1290","c.","","","","","","","","","","","","","","","","","","","","","","","EIP 14, 2013, 561, NCC I, 273","Abhayacandra (Siddhānta) Cakravartin","","","",""
"85384","Abhayadeva Sūri","Male","","","","","Sūri","","","","","","","","","1080","c.","","","","","","","","","","","","","","","","","","","","","","","EIP 14, 2013, 231-232, NCC I, 275","","","","",""
"85411","Abhayākaragupta","Male","","","","","","","","","","","","","","1109","c.","","","","","","","","","","","","","","","","","","","","","","","NCC I, 280","","61484, 51456, 61483","Gudrun Buhnemann 1992, Harunaga Isaacson 1997, T.Rajapatirana 1961","",""
"98122","Abhayarāmabhaṭa","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Abhayarāmabhaṭṭa","","","",""
"85557","Abhayatilaka","Male","","","","","Upādhyāya","","","","","","","","","1256","c.","","","","","","","","","","","","","","","","","","","","","","","NCC II, 274","Abhayatilaka (Upādhyāya)","","","",""
"87040","Abheda Nanda Bhaṭṭācārya","Male","","","","","Bhaṭṭācārya","","","","","","","","","1994","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87057","Abheda Upādhyāya","Male","","","","","Upādhyāya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Relationship to other people: Disciple of Nṛsiṃha.",""
"96327","Abhinanda","Male","","","","","","","","","","","","","","","","","","","","96326","Śatānanda","","","","","","","","","96322","Rājaśekhara","","","","","","","","","","","",""
"85567","Abhinanda Tarkavāgīśa","Male","","","","","","","","","","","","","","1280","c.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86508","Abhinava Cārukīrti","Male","","","","","Abhinava","","","","","","","","","1845","c.","","","","","","","","","","","","","","","","","","","","","","","EIP 17, 2 2014, 307-308","","","","",""
"86942","Abhinava Raṅganātha Parakalayati","Male","","","","","Abhinava","","","","","","","","","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86401","Abhinava Sītarāma Brahmendra","Male","","","","","Abhinava","","","","","","","","","1770","c.","","","","","","","","","","","","","","","","","","","","","","","NCC I, 307","","","","",""
