"Entity ID","Work","Author ID (person)","Author (person)","Attributed author ID (person)","Attributed author (person)","Owner ID (person)","Owner (person)","Discipline","Genre","Structure","Length","Year","Year note","Language","Sponsor ID (person)","Sponsor (person)","Sponsored by ID (institution)","Sponsored by (institution)","Composed in ID (site)","Composed in (site)","Availability","Manuscript distribution","Commentary on ID (work)","Commentary on (work)","Mentions ID (work)","Mentions (work)","Text reused ID (work)","Text reused (work)","Mentioned person ID","Mentioned person","Site mentioned ID","Site mentioned","Edition ID (print)","Edition (print)","Manuscript reference","Refs to refbooks","Scholarship ID (print)","Scholarship (print and note)","Aka","More info","External resources"
"89291","""Book of Patañjali""","85372","Al-Bhiruni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61220","Tuvia Gelblum 2008","","",""
"88179","""The Spitzer Manuscript""","","","","","","","","","","","275","","","","","","","","","","","","","","","","","","","","","","","","","52612, 52613","Eli Franco 2004, Eli Franco 2005","","Year derived from data on author whom Potter defines as unknown.",""
"104163","(Āyurvedīya)Mantraprayogavidhi","","","","","","","Vaidyaśāstra","","","","1873","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104455","(Kāmaśāstrīya)Auṣadhaprayoga","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104274","(Saṅkṣepa)Cikitsāvidhi","","","","","","","Vaidyaśāstra","","","","1844","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104093","(Sāroddhṛta)Lehacintāmaṇi","","","","","","","Vaidyaśāstra","","","","1564","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41413","(sarva)jvarasamuccayadarpaṇa","40474","Haṃsarāja","","","","","","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","40137","Meulenbeld 1999-2002 ((One of) Relationship to person: IIA.247)","","",""
"96096","(Śrāddha)Pratikramaṇasūtra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104082","(Śubhāśubha)Aśvaśāstra","","","","","","","Vaidyaśāstra","","","12","1580","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95837","-Dharmadhātugarbhavivaraṇa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68016","Marek Mejor","","Ārya.",""
"94642",". Commentary on Abhinavagupta's Parsamārthasāra","87013","Dvārikānātha Śāstrī","","","","","","","","","","","","","","","","","","","","89168","Paramārthasāra","","","","","","","","","","","","","","","","",""
"95824",".Avadhutayoga-nāmādibuddhasādhana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67997","Edited and translated in Gunter Grönbold, ""Zwei Ādibuddha-texts"", STBK 111-161","","","","","","",""
"92278",".Karākavāda","86189","Gadādhara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC XVI, 78","","","","",""
"95883",".Vṛtti on the Ratnagotravibhāga","","","","","","","","","","","","","","","","","","","","","","96105","Ratnagotravibhāga","","","","","","","","","","","","","68074","Michael Zimmerman 1999","","",""
"95511","1 Dan A. Chekki, ""The Vīraśaiva philosophy and mysticism in the lyrics of Siddharāma Śivayogin"", JOI 52.1-2, 2002, 25-34","87753","Siddharāma Śivayogin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94687","1 Edited e441.1.20","87051","Suddhānanda Pathak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94401","1.2 Edited Ajmer 2008","86875","Bhagīratha Maithili Jhā","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89819","2.l Edited by T.R.Chintamani. JOR 7, 1933: 11-24, 291-301","85525","Citsukha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89073","3 Edited and translated in Raffaele Torella, ""The Svabodhodayamañjarī, orhow to suppress the mind with no effort"", Haranandalahari 387-410","85328","Vāmanadatta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89853","5C Edited Bombay 1917-1918","85533","Āśādhara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92233","73.2 Mānameyodaya","86182","Nārāyaṇa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EIP 16, 2014, 508-514","","","","Continuation, i.e. part 2 of.",""
"104448","[Atisāra]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104418","[Auṣadhabhāga(nāmasaṅgraha)]","","","","","","","Vaidyaśāstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104424","[Auṣadhabhāga(saṅgrahabhāṣā)]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104248","[Auṣadhasaṃyogalekha]","","","","","","","Vaidyaśāstra","","","","1775","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104177","[Auṣadhavidhi]","","","","","","","Vaidyaśāstra","","","","1755","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104420","[Auṣadhimantrapūjādigrantha]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104458","[Āyurvedagrantha]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104124","[Āyurvedagrantha]","","","","","","","Vaidyaśāstra","","","","1821","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104128","[Āyurvedikacikitsāgrantha]","","","","","","","Vaidyaśāstra","","","","1688","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104126","[Āyurvedikauṣadhagrantha]","","","","","","","Vaidyaśāstra","","","","1884","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104461","[Bālacikitsāmṛta]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104110","[Bhaiṣajyagrantha]","","","","","","","Vaidyaśāstra","","","","1928","c.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104142","[Cikitsāgrantha]","","","","","","","Vaidyaśāstra","","","","1814","c.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104150","[Cikitsāsaṅgraha]","","","","","","","Vaidyaśāstra","","","","1611","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104344","[Cikitsāsāra]","","","","","","","Vaidyaśāstra","","","","1554","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104148","[Cikitsāsāra]","","","","","","","Vaidyaśāstra","","","","1798","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104144","[Cikitsāśāstra]","","","","","","","Vaidyaśāstra","","","","1819","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104161","[Dhāturasāyanavidhi]","","","","","","","Vaidyaśāstra","","","","1879","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104551","[Mādhavanidāna]","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104554","[Mādhavanidāna]","","","","","","","Vaidyaśāstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104173","[Mantrauṣadhicikitsā]","","","","","","","Vaidyaśāstra","","","","1792","c.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104261","[Śālihotra]","","","","","","","Vaidyaśāstra","","","","1874","c.","Nepali, Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104252","[Śālihotramantra]","","","","","","","Vaidyaśāstra","","","","1772","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104256","[Sāmānyaprayogacikitsā]","","","","","","","Vaidyaśāstra","","","","1857","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104296","[Suvarṇasāra]","","","","","","","Vaidyaśāstra","","","","1937","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104246","[Tāntrikamat(ana)auṣadhavidhi]","","","","","","","Vaidyaśāstra","","","","1871","c.","Nepali, Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104171","[Tāntrikopacāra]","","","","","","","Vaidyaśāstra","","","","1860","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104265","[Vaidyaviṣayakapatrāṇi]","","","","","","","Vaidyaśāstra","","","","1400","c.","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104328","[Yuktāyuktavicāra]","","","","","","","Vaidyaśāstra","","","","1749","c.","Hindi, Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41958","Ā list of manuscripts","","","","","","","","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95433","Ābdamālikā","87684","Raṅgācārya of Kauśikagotra","","","","","Viśiṣṭādvaita Vedānta","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 271","","","","",""
"92271","Abhāvādhikaraṇavāda","86189","Gadādhara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 281","","","","",""
"93781","Abhāvapadārthakhaṇḍana","86595","Śivacandra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 281","","","","",""
"93812","Abhāvarahasya","86611","Uddhavasiṃha","","","","","Nyāya","","","","","","","","","","","","","","","","","","","","","","","","","67385","Banaras 1885","","NCC I, 281","","","","",""
"93218","Abhāvavāda","86419","Dāmodara","","","","","Nyāya","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC IX, 16","","","","",""
"94646","Abhāvavimarśa","87017","Dīpaka Hoṣa","","","","","Nyāya","","","","","","","","","","","","","","","","","","","","","","","","","67777","Edited","","","","","","",""
"89572","Abhayamātratattvasāra","85454","Gorakṣanātha","","","","","Yoga","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC VI, l76","","","","",""
"90168","Abhayapradānasāra","85613","Vedāntadeśika","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63512","D. Krsnayangar, 1968","","","","","","",""
"95510","Abhedakārikā","87752","Siddhanātha","","","","","Kashmir Śaivism","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 315","","","Abhedārthakārikā","",""
"94132","Abhedakhaṇḍana","86739","Prativādibhayaṅkar Anantācārya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 495","","","","",""
"90307","Abhedakhaṇḍana","85637","Kumāra Vedānta Deśika","","","","","Viśiṣṭādvaita Vedānta","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 315, 502","","","","",""
"95140","Abhedamaṇḍana","87433","Kṛṣṇa Śāstrin","","","","","Advaita + Vyākaraṇa","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 315","","","","",""
"95248","Abhidhamma Sammohavinodinī","87523","Ñānakitti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67868","K. Pannasekhara 1893","","","","","","",""
"89450","Abhidhammatthasaṅgaha","85413","Anuruddha","","","","","Abhidharma / Theravāda","","","","","","","","","","","","","","","","","","","","","","","","","61504, 61500, 61490, 61499, 61488, 61486, 61497, 61508, 61493, 61507, 61515, 61487, 61513, 61511, 61495, 61503, 61496, 61502, 61506, 61498, 61491","Anagarika Dhammratna 1968, Ananda Kausalyananda 1960, Bangkok 1923, Bhikkhu Bodhi, Kandy 1993; Seattle 2000, C. A. Seelakkhanda Thera 1899, Childers, Goonasekera and T.W.Rhys Davids 1882, D.N.Kosambi 1941, Dhammacarya 1991, H. Suri Dewamitta and Kukulnape Siri Dewarakkhita 1929, Hammalawa Saddhatissa 1989, Igatapuri 1998, Nanaramatissa Thera 1890, Nyanatiloka as 1995, Paramanand Singh 1993, Phra Sasanasophon and Phra Suphotamuni 1938, Ram Samkar Tripathi and Parmanand Singh 1967, Rangoon 1940, Rewatadhammathera 1965, Semba Dorje 1988, U Ngwe 1952, Vimalapanna Oum-Sou as 1927","","NCC I, 213, 287-288","61518, 54621, 61494, 61514, 61510, 61512, 61492, 61501, 61505, 53879, 53854, 61517, 61516, 61509, 61489","Andrew Olenzki, B. Semisov 1930, B.C.Law 1931, Binayendra Nath Chaudhury 1996, Chandra B. Varma 1992, Chandra B. Varma 1995, E.L.Hoffman, H.G.A.Van Zeyst 1963, Hammalava Saddhatissa, Kunj Behari Lal Shukla 1990, Kunj Beharilal Shukla 1984, Noa Rankin, R. P. Wijeratne and Rupert Gethin 2002, Satyendra Kumar Pandey 1991, Shwe Zan Aung and Carolyn A.F. Rhys Davids 1910","","",""
"88339","Abhidhammāvatāra","85136","Buddhadatta","","","","","Abhidharma / Theravāda","","","","","","","","","","","","","","","","","","","","","","","","","54702, 54706, 54710, 54708, 54704, 54703, 54707","Ambulangoda Polvatte Buddhadatta 1915, Bangkok 1970, Igatpuri 1998, Mahesh Tiwari 1987, Polvate Buddhadatta Nayakathera 1954, Rangoon 1915, Rangoon 1977","","NCC I, 289","54705, 54711, 54709","H.S.Cooray 1963, Lance S. Cousins 2003, Steven Collins 1997","","",""
"41887","Abhidhānakāmadhenu","","","","","","","","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42352","Abhidhānamañjarī","40970","Bhiṣagārya","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","40147","[UNPUBLISHED] New Catalogus Catalogorum [missing]","","",""
"42024","Abhidhānaratnamālā","","","","","","","","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41771","Abhidhānaratnamālā ṭīkā","","","","","","","Vaidyaśāstra","","","","","","Sanskrit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88527","Abhidharma(pra)dīpa and Vibhāṣāprabhāvṛtti thereon","85181","Vimalamitra","","","","","Sarvāstivāda and Vaibhāṣika","","","","","","","","","","","","","","","","","","","","","","","","","55985","Padmanabh S. Jaini, TSWS 4, 1959 1959","","NCC I, 291","55988, 53023, 55991, 55987, 55990, 55993, 55986, 55984, 55992, 55989","A.I 1977, Bhikkhu Pasadika 1990, Collett Cox, J.W.de Jong 1966, Kamaleswar Bhattahcayra, Ken'yo Mitumo 2007, P.S.Jaini 1963, Padmanabh S. Jaini 1953, Summaried by Pamanabh S. Jaini. EIP9 2003, Tomoichi Hirose 1980","","Separate commentary in Potter: Vibhāṣāprabhāvṛtti (Vimalamitra)",""
"88034","Abhidharmahṛdaya","85086","Dharmaśrī","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50266, 50259, 50265, 50260, 50262, 50267, 50261, 50257, 50258, 50263, 50264","Bart Dessein, Charles Willemen 1975, Charles Willemen 1994, I. Armelin 1978, J. W. de Jong 1980, Lalit 'Shravak' 2001, Leon Hurvitz 1979, P. Pelliot 1930, T. Rajapatirane 1961, W. R. Ryose 1986, Wataru S. Ryose 1987","","",""
"88240","Abhidharmakośa and Bhāṣya thereon","85127","Vasubandhu","","","","","Sautrāntika / Buddhist Logic","","","","","","","","","","","","","","","","","","","","","","","","","53833, 53893, 53830, 53915, 53827, 53803, 53799, 53853, 53811, 53815, 53860, 53826, 53839, 53798, 53800, 53906, 53876, 53873, 53842","Art Engle and Geshe Lobsang 1970, DSwarikadas Sastri 1998, Dwarikadas Shastri 1970, Inda Narain Singh 2010, Kasi Prasada Jayasavada 1967, Leo M. Pruden, Berkeley 1988-1990 1923, Louis de la Vallee Poussin, Mahesh Tiwari 1984, N.N.Law 1949, Narendra Deva 1958, Portion edited and translated, with a section of the Abhidharmasamucayabhāṣya in Paul W. Griffiths, On Being Mindless: Buddhist Meditation and the Mind-Body Problem. La Salle, Ill. 1986, Prahlad Pradhan 1967, Ryogon Fukuhara 1973, S. and I. Funahashi 1886, Th. Stcherbatsky 1917, Tokyo 2005, V.I. Rudoj 1990, Yasinori Ejima 1989, ZMoratuwe Sasanaratana 1976","","NCC I, 289-290","53808, 53911, 53836, 53891, 53866, 53882, 53858, 53862, 53843, 53861, 53813, 53916, 53819, 53824, 53828, 53846, 53877, 53895, 53889, 53859, 53857, 53865, 53812, 53872, 53849, 53829, 53900, 53913, 53875, 53905, 53914, 53802, 53883, 53825, 53820, 53867, 53844, 53816, 53818, 55686, 53912, 53847, 53863, 53864, 53890, 53901, 53855, 53888, 53871, 53850, 53898, 53838, 53878, 53879, 53854, 53805, 53884, 53807, 50082, 53821, 53845, 53904, 53874, 53881, 53897, 53899, 53870, 53887, 54259, 53856, 53917, 53910, 53909, 53908, 53868, 53851, 53823, 53894, 53814, 53886, 53869, 53880, 53738, 53892, 53746, 53903, 53840, 53835, 53902, 53885, 53817, 53896, 53848, 53837, 53832, 53806, 53822, 53801, 53804, 53841, 53809, 53810, 53852, 53907, 53834, 53831","Wogihara 1932-1934, Akiko Iwami 2007, Akira Hirakawa 1973, Akira Sadakato 1997, Amalia Pezzali, Amalia Pezzali, Amalia Pezzali 1886, Amalia Pezzali 1987, Amarasiri Weeraratne 1978, Amelia Pezzali 1987, Andre Bareau 1953, Andrew Oledzki 2011, Aruna Haldar 1960, Aruna Haldar 1964, Aruna Haldar 1967, Aruna Haldar 1981, Aruna Haldar 1990, Bart Dessein, Bhikkhu K. Dhammajoti, Bhikkhu Pasadika, Bhikkhu Pasadika, Bhikkhu Pasadika 1989, Book One 1953, Boris Vladinirovich Semichov 1988, Bruce Cameron Hall 1983, Buddha Prakash 1968, Bui Si Lanh 2002, Charles Goodman, Collett Cox 1990, Collett Cox 2004, Dan Lusthaus, Dasgupta I, David Pott 1993, Eric Cheetham 1965, Exhaustive commentarial exposition of 5.23-27 by Nathmal Tatia 1960, Geng Shimin 1989, H.V.Guenther, Hajime Sakurabe, Hajime Sakurabe 1959, Hirotaka Miiyamoto 2006, James Duerlinber, James Duerlinger 1982, James Duerlinger 1989, James Duerlinger 1989, James Duerlinger 1997, James Duerlinger 2003, James P. McDermott 1984, Johannes Bronkhorst 1997, Jose Pereira and Francis Tiso 1988, Joseph Duc Anh Tran 1983, Karen Katsumoto 2001, Kenyo Mitomo 1973, Klaus T. Schmidt 1990, Kunj Behari Lal Shukla 1990, Kunj Beharilal Shukla 1984, L. Wallace 1928, Lata Bapat 1994, Louis de la Vallee Poussin, Louis de la Vallee Poussin 1918, Lu Ch'eng and Issai Funahashi 1961, M. G. Brjanskij 1980, Marek Mejor, Marek Mejor 1989, Marek Mejor 1991, Marek Mejor 1999, Marek Mejor 2001, Marek Mejor, Klon rdol bla ma's explanatory notes on the Abhidharmakośa of Vasubandhu 1988, Maulichand Prasad, Maulichand Prasad 1991, Michael M. Broido 1985, Moima Chadha 2015, Musashi Tachikara, Musashi Tachikawa 2006, Naoki Saito 2006, Nathmal Tatia, Paul Griffiths 1983, Paul Mus 1964, Peter Skilling 1998, Prahlad Pradhan 1955, Richard P. Hayes, Richard P. Hayes 1988, Robert Kritzer 1992, Robert Kritzer 1996, Robert Kritzer 1998, Robert Kritzer 2000, Robert Kritzer 2003, S. Katsura 1976, Sheiki Miyashita 1971, Shoryu Katsura 2003, Shubhangi S. Pradhan 1993, Shuyu Kanaoka 1959, Stefan Anacker 1999, Subhadra Jha 1983, Sukumal Choudhury 1973, Summary of section on pudgala in N.N.Dutt 1970, T.Kimura, Table of dharmas provided in Jaini 1959, Th. Stcherbatsky in BASR 1919. Reprinted 1919, Th.Stcherbatsky 1923, Thomas Lee Dowling 1976, V.V.Gokhale 1946, V.V.Gokhale 1947, Yooshifumii Honjo 1984, Yoshito Moroji 2006, Yuichi Kajiyama 1971, Z. Ahmad 1970","","Separate commentary in Potter: Bhāṣya (Vasubandhu)",""
"88067","Abhidharmāmṛta","85096","Ghoṣaka","","","","","Sarvāstivāda and Vaibhāṣika","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 292","51096, 51094, 51097, 51092, 51095, 51093","Bart Dessein, Jose von den Broeck 1977, Jou-han Chou 2006, Restored into Sanskrit by Shantibhiksu Shastri. VBA 5 1933, Robert Kritzer 1994, T. Rajapatirane 1961","","",""
"95810","Abhidharmaprakaraṇabhāṣya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67983","J. Imanishi 1975","","",""
"88229","Abhidharmasaṃgītiśāstra","85125","Asaṅga","","","","","Yogācāra / Vijñānavāda","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCC I, 480","","","","Available in Chinese.",""
"88230","Abhidharmasamuccaya","85125","Asaṅga","","","","","Yogācāra / Vijñānavāda","","","","","","","","","","","","","","","","","","","","","","","","","53527","P.Pradhan 1950","","NCC I, 29l","53546, 53547, 53539, 53529, 53531, 53536, 53542, 53540, 53537, 53532, 53534, 53548, 53528, 53533, 53524, 53526, 53545, 53543, 53541, 53535, 53523, 53525, 53530, 53544, 53538","Achim Bayer 2010, Achim Bayer 2012, Ah-yueh Yeh 1984, Alex Wayman 1962, Alex Wayman 1971, Curtis Forrest Oliver 1982, Ernst Prets 1994, Fenje Heupers 1985, L. Schmithausen, Lambert Schmithausen 1972, Lambert Schmithausen 1976, Li Zuazhu, Lu Chang 1961, Noriaki Hakamaya 1972, P. Pradhan 1948, P.Pradhan 1948, Paul J. Griffiths 1999, Robert Benjamin Kritzer 1995, Shigeho Okada 1989, Shingyo Yoshimoto 1977, V.V.Gokhale 1947, V.V.Gokhale 1948, Walpola Rahula 1971, Waragoda Pemaratna, Yueh Ah-yueh 1984","","",""
"95811","Abhidharmaskandhapadaśāstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67984, 67985","Swati Ganguly 1984, Swati Ganguly 2002","","",""
"88358","Abhidharmāvatāra","85143","Skandhila","","","","","Sarvāstivāda and Vaibhāṣika","","","","","","","","","","","","","","","","","","","","","","","","","55186","Marcel Van Velthen 1977","","NCC I, 292","55188, 55187, 55191, 55184, 55183, 55185, 55189, 55190","Bart Dessein, Bhikkhu K. Dhammajoti 1988, Christian Lindtner and Fred Greiner 2003, H.S.Cooray 1961, Hajime Sakurabe, Hajime Sakurabe 1965, Kuala Lumpur Dhammajoti 1998, Raj Kumar Singh 1999","","",""
"88933","Abhidhāvṛttamātṛkā","85283","Mukula","","","","","Vyākaraṇa","","","","","","","","","","","","","","","","","","","","","","","","","60034, 60032, 60037, 60033","K. Venugopalan 1977, Mangesha Ramakrsna Telang 1916, Nirupama Tripathi 2007, R. P. Dvivedi 1973","","","60035, 60038, 60039, 60036","G.L.Chaturvedi 1984, Larry McCrea 2008, Malcolm Keating 2013, Tapasvi Nandi 2002","Abhidhāvṛttimātṛkā","",""
"96246","Abhijñānaśakuntala","40377","Kālidāsa","","","","","Kāvya, Nāṭya","Nāṭya","","","","","Prakrit, Sanskrit","","","","","","","","","","","","","","","","","","","","","","","96251","Levitt 2005","Śākuntala, Abhijñānaśakuntalā","","The Abhijnana Sakuntala, Nirnaya Sagar Press, Bombay 1947 (https://ia601607.us.archive.org/23/items/in.ernet.dli.2015.314018/2015.314018.The-Abhijnana.pdf), The Abhijnana Sakuntala, The Popular Book Store, Surat 1946 (https://ia801504.us.archive.org/27/items/in.ernet.dli.2015.407967/2015.407967.The-Abhijnana.pdf), Abhijnana Sakuntalam A Sanskrit Drama, the Sanskrit Press Depot, Calcutta, 1888 (https://ia801604.us.archive.org/7/items/in.ernet.dli.2015.312893/2015.312893.Abhijnana-Sakuntalam.pdf)"
